provider_id,lat,lng
10001,31.2167252,-85.3630676
10005,34.2031662,-86.15209689999999
10006,34.7937966,-87.6832735
10011,33.5969713,-86.66781259999999
10016,33.2524436,-86.8135545
10023,32.3269463,-86.2710335
10029,32.6401629,-85.4037506
10033,33.5058687,-86.8020798
10039,34.7211299,-86.5806676
10040,34.0077928,-85.9658747
10046,34.0042649,-86.003393
10055,31.2373665,-85.45478630000001
10056,33.5071812,-86.7889111
10078,33.6563953,-85.8228352
10083,30.4260938,-87.6843079
10085,34.5920957,-86.972124
10090,30.6782817,-88.1985523
10092,33.2053981,-87.52648119999999
10100,30.5199765,-87.8886399
10103,33.4984021,-86.84701659999999
10104,33.5163586,-86.7483395
10113,30.6963935,-88.07983949999999
10139,33.4640714,-86.7728707
20017,61.210404,-149.8286335
30002,33.4649397,-112.0579565
30006,32.252903,-110.8780795
30007,34.7357759,-112.0292561
30010,32.26256560000001,-111.1175767
30011,32.2265668,-110.855335
30012,34.5596203,-112.4811881
30013,32.6823988,-114.634916
30023,35.20832,-111.643986
30024,33.4819191,-112.0793604
30030,33.5247707,-112.1021957
30038,33.4886728,-111.9231527
30061,33.6042603,-112.2837994
30062,34.2019458,-110.0191523
30065,33.3899841,-111.877013
30069,34.4803821,-114.3388668
30087,33.580069,-111.8851432
30089,33.6092024,-112.1795965
30092,33.6657269,-112.1160219
30093,33.6599234,-112.3728842
30094,33.6550895,-112.2015464
30100,32.294444,-110.970281
30101,35.1108174,-114.5549827
30103,33.6588967,-111.9564212
30105,33.4113567,-111.6858362
40004,36.1341774,-94.12871109999999
40007,34.749974,-92.3386846
40010,36.3089205,-94.18309570000001
40020,35.84229670000001,-90.704279
40022,36.1800714,-94.1367276
40026,34.4681702,-93.06631349999999
40027,36.3429502,-92.3944185
40029,35.0859847,-92.4576613
40036,34.7837697,-92.2220519
40062,35.3557971,-94.35266569999999
40071,34.189055,-92.0181788
40078,34.486004,-93.03521099999999
40114,34.7486563,-92.3542193
40118,35.8083116,-90.6660236
40119,35.7677728,-91.6342365
40134,34.7392007,-92.3932502
50006,40.7839228,-124.1422119
50007,37.5921025,-122.3833423
50013,38.5425501,-122.4748268
50017,38.5702596,-121.4524082
50026,32.7749487,-117.0146736
50036,35.3873576,-119.0168962
50039,39.7421399,-121.8501891
50056,34.6946278,-118.1473771
50057,36.3282957,-119.2949631
50058,34.1281181,-118.2569118
50069,33.7819896,-117.8653381
50077,32.7514518,-117.1600534
50082,34.2166424,-119.1556484
50084,37.9706584,-121.288784
50093,36.8352022,-119.7655278
50107,34.9512414,-120.4133339
50108,38.58001840000001,-121.4627576
50115,33.1251852,-117.0752748
50128,33.1851545,-117.2902595
50133,39.1381926,-121.5940156
50168,33.8941778,-117.9276156
50174,38.4437611,-122.701141
50179,37.511639,-120.837996
50485,33.8081074,-118.1867435
50180,37.9130871,-122.0408542
50197,37.4797381,-122.2547914
50222,32.6187715,-117.0229286
50224,33.6222534,-117.9331005
50225,39.7570818,-121.5701689
50232,35.27817090000001,-120.6511558
50235,34.1558174,-118.3281063
50238,34.1355055,-118.0394267
50243,33.8385169,-116.54408
50262,34.0664494,-118.4463318
50280,40.5865396,-122.3916754
50290,34.0307388,-118.4796069
50291,38.4697801,-122.7077378
50295,35.3728466,-119.0277766
50308,37.3694772,-122.0799117
50309,38.7666031,-121.2480193
50334,36.6593319,-121.646662
50351,33.8119157,-118.3434945
50360,37.9470595,-122.5368935
50380,37.2520715,-121.9463305
50382,34.0880807,-117.8934248
50390,33.6991526,-116.9793554
50394,34.2745632,-119.2579873
50396,34.4216024,-119.698259
50424,32.8972329,-117.2428159
50438,34.133639,-118.152753
50441,37.4330651,-122.1752704
50464,37.6652146,-120.9972995
50481,34.1973122,-118.6439809
50496,37.9835131,-122.0335666
50516,38.6696228,-121.3140357
